"TOUCH_Enable Selected";"Enable Selected"
"TOUCH_Disable Selected";"Disable Selected"
"TOUCH_Compatibility";"Compatibility"
"wl";"webligo extra"
"he";"HE extra"
"TOUCH_COMPATIBILITY_DESC_COMPATIBLE"; "Integration is compatible with %s"
"TOUCH_COMPATIBILITY_DESC_POTENTIAL"; "Integration potentially can be used but there is no %s Plugin installed or the plugin is disabled"
"TOUCH_COMPATIBILITY_DESC_EXPIRED"; "Integration is compatible with older version of %s. It may work not consistently"
"TOUCH_COMPATIBILITY_DESC_INCOMPATIBLE"; "It recommends that %s"
"TOUCH_HIDE"; "hide"
"TOUCH_SHOW"; "show"
"TOUCH_Via Touch Mobile"; "Via Touch Mobile"
"_CORE_ADMIN_STATS_TOUCH_CORE_COMMENTS"; "Comments via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_CORE_LIKES"; "Likes via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_CORE_VIEWS"; "Page views via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_MESSAGES_CREATIONS";"Sign-ups via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_USER_FRIENDSHIPS";"New friendships via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_USER_LOGINS"; "Sign-ins via Touch-Mobile"
"TOUCH_NOT_INTEGRATED_PAGE";"This page is not yet integrated in Touch version of the site and may work unstable"
"TOUCH_ADMINS_VIEW_ONLY_MESS";"(this message is shown to administrators only)"
"TOUCH_tl_profile_info"; "About"
"TOUCH_tl_no_cover_photo"; "No cover photo"
"TOUCH_tl_no_born_photo"; "No born photo"
"TOUCH_Setting Home Screen Icon"; "Configure Home Screen Icon"
"TOUCH_Original Image";"Original Image"
"TOUCH_Homescreen Preview"; "Homescreen Preview"
"TOUCH_Choose New Image"; "Choose New Image"
"TOUCH_Enable Homescreen?";"Enable Homescreen?"
"TOUCH_Save Settings";"Save Settings"
"TOUCH_Set Touch mode as default";"Display touch site for all visits (mobile/tablet/PC) by default:"
"TOUCH_Display only integrated Pages";"Display only supported features (pages) and display Not Found page for others:"
"TOUCH_Touch mode as default for tablets";"Display touch site for tablets (iPad,Galaxy Tab, etc):"
"TOUCH_Set Home Screen Icon";"Set Home Screen Icon"
"TOUCH_Compare Actitvity Stats";"Compare Activity Stats"
"TOUCH_Stats Counter Global Stats";"Worldwide Mobile Stats"
"TOUCH_On Standard Site";"On Standard Site"
"TOUCH_Please Wait...";"Please Wait..."
"TOUCH_Get More Hire-Expert's Plugins ";"Get More Hire-Expert's Plugins "
